#Distance
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.23	15.33	4.48	-1.00	0.00	0.00	0.00	0.00
0.45	19.87	3.93	-0.35	0.00	0.00	0.00	0.00
0.68	18.53	2.51	1.67	0.00	0.00	0.00	0.00
0.91	20.20	1.81	-2.24	0.00	0.00	0.00	0.00
1.13	19.94	2.62	-4.20	0.00	0.00	0.00	0.00
1.36	20.30	2.18	-4.72	0.00	0.00	0.00	0.00
1.59	21.37	1.72	-2.74	0.00	0.00	0.00	0.00
1.82	22.58	1.95	2.85	0.00	0.00	0.00	0.00
2.04	23.07	2.08	6.56	0.00	0.00	0.00	0.00
2.27	23.64	1.79	7.70	0.00	0.00	0.00	0.00
2.50	26.64	1.87	7.49	0.00	0.00	0.00	0.00
2.72	29.98	1.80	7.73	0.00	0.00	0.00	0.00
2.95	34.41	2.06	11.24	0.00	0.00	0.00	0.00
3.18	38.03	1.83	14.76	0.00	0.00	0.00	0.00
3.40	42.92	1.68	16.66	0.00	0.00	0.00	0.00
3.63	47.27	1.85	17.23	0.00	0.00	0.00	0.00
3.86	51.91	2.18	17.15	0.00	0.00	0.00	0.00
4.08	55.52	2.56	18.01	0.00	0.00	0.00	0.00
4.31	57.05	2.41	18.75	0.00	0.00	0.00	0.00
4.54	58.52	2.19	19.65	0.00	0.00	0.00	0.00
4.76	60.51	2.05	20.39	0.00	0.00	0.00	0.00
4.99	62.06	2.17	20.99	0.00	0.00	0.00	0.00
5.22	61.78	2.26	21.14	0.00	0.00	0.00	0.00
5.45	60.87	2.31	21.76	0.00	0.00	0.00	0.00
5.67	60.89	2.22	22.01	0.00	0.00	0.00	0.00
5.90	60.15	2.39	21.71	0.00	0.00	0.00	0.00
6.13	60.03	2.34	21.05	0.00	0.00	0.00	0.00
6.35	61.71	2.13	20.66	0.00	0.00	0.00	0.00
6.58	61.42	2.01	20.32	0.00	0.00	0.00	0.00
6.81	63.16	1.98	19.95	0.00	0.00	0.00	0.00
7.03	63.45	2.10	19.61	0.00	0.00	0.00	0.00
7.26	60.65	2.04	19.17	0.00	0.00	0.00	0.00
7.49	59.87	2.20	19.39	0.00	0.00	0.00	0.00
7.71	62.02	2.11	20.49	0.00	0.00	0.00	0.00
